0,1,3,5,8,3,6,0,7,4,2
1,4,1,8,7,1,8,1,4,3,2
2,6,0,4,0,9,7,1,4,1,2
3,5,5,6,8,8,7,5,5,7,4
4,3,1,0,5,6,5,7,1,0,2
5,5,9,2,9,4,4,4,7,1,4
6,9,0,0,1,9,4,6,8,9,4
7,2,6,4,7,8,1,0,3,4,4
8,5,7,2,1,9,4,8,4,8,2
9,0,8,8,9,9,6,9,1,5,2
10,0,4,7,8,2,4,9,8,4,2
11,0,4,2,1,5,6,8,4,3,4
12,7,5,5,6,1,0,0,6,8,4
13,7,2,7,2,4,2,4,9,3,4
14,7,8,2,8,4,2,4,7,0,4
15,8,6,3,9,5,4,2,5,0,4
16,0,9,4,7,6,4,9,9,5,2
17,1,9,5,6,5,4,4,8,0,2
18,5,0,1,5,3,8,9,3,3,2
19,2,4,8,0,4,6,1,8,0,4
20,4,9,0,0,4,1,3,3,5,4
21,6,0,3,2,6,2,1,6,5,4
22,1,2,1,0,4,9,6,0,4,2
23,4,6,1,8,6,4,6,6,6,4
24,2,8,8,9,0,8,7,8,9,2
25,3,5,9,7,7,6,3,9,0,2
26,0,6,9,0,2,0,8,5,8,4
27,6,2,8,9,6,1,3,4,4,2
28,6,0,3,3,9,2,5,7,5,2
29,1,5,1,0,3,4,5,1,0,4
30,8,5,0,0,4,4,7,1,4,2
31,3,3,9,6,8,9,1,4,1,4
32,5,1,8,8,2,3,1,6,4,2
33,6,1,1,5,7,6,0,1,7,4
34,3,1,5,5,2,4,1,9,8,2
35,3,3,5,6,2,0,8,1,1,2
36,0,1,1,4,3,1,7,5,0,4
37,3,1,1,0,8,3,6,8,3,2
38,1,5,2,9,7,6,8,2,1,4
39,4,1,7,5,5,7,9,8,3,4
40,1,6,1,0,3,8,2,5,0,2
41,3,3,5,4,8,1,4,3,3,2
42,3,4,5,3,6,7,5,5,7,2
43,5,1,2,5,6,6,2,8,8,2
44,4,0,7,7,7,1,0,2,3,2
45,5,8,7,9,9,9,1,7,7,2
46,3,0,9,7,2,5,0,1,2,2
47,7,3,6,5,3,8,3,2,4,4
48,0,3,8,7,0,4,2,7,0,2
49,1,0,4,6,2,0,2,4,3,2
50,0,6,0,3,2,7,3,5,0,4
51,1,1,2,4,3,8,4,8,4,2
52,6,4,9,6,5,9,5,2,1,2
53,6,0,5,0,3,9,0,2,7,2
54,4,5,7,1,5,1,6,3,6,2
55,9,3,3,2,9,3,0,7,8,2
56,7,1,6,0,7,1,7,4,1,2
57,8,6,6,4,7,3,2,4,4,4
58,0,7,1,7,8,5,2,3,4,2
59,6,8,5,6,7,2,4,5,4,4
60,2,1,0,2,4,2,9,8,6,4
61,2,6,0,6,5,8,6,9,7,4
62,7,6,9,1,2,7,4,4,7,2
63,0,5,0,7,0,8,4,1,4,4
64,9,1,6,1,4,8,6,9,3,4
65,0,1,1,4,9,6,6,4,0,2
66,0,8,8,6,0,4,0,1,4,2
67,2,9,3,2,6,4,4,3,0,4
68,1,2,1,0,7,3,8,4,2,2
69,8,7,3,1,3,9,9,6,9,2
70,5,4,2,7,1,1,7,0,9,2
71,8,7,3,8,0,6,3,9,1,2
72,2,2,8,3,3,0,9,1,7,2
73,1,4,3,1,8,1,9,9,8,2
74,9,0,3,4,0,4,5,9,4,4
75,8,9,3,9,6,8,8,6,4,2
76,7,7,5,0,3,0,2,2,0,4
77,7,4,2,6,8,8,6,0,3,2
78,3,5,7,5,1,8,6,4,2,4
79,1,8,0,9,0,7,6,2,7,4
80,9,1,9,0,8,0,3,0,7,4
81,7,7,5,7,4,8,3,7,2,2
82,5,8,0,8,6,4,4,8,9,2
83,7,9,1,8,0,3,9,9,9,4
84,0,0,5,1,7,7,7,8,6,4
85,4,0,2,2,6,2,8,1,6,2
86,0,1,8,2,2,9,3,0,4,2
87,0,8,3,7,3,5,4,6,7,4
88,5,1,8,0,6,0,7,2,1,4
89,7,7,5,2,4,4,4,2,4,4
90,2,8,3,2,8,7,7,0,4,4
91,4,2,4,2,3,9,2,5,2,4
92,3,3,0,7,6,3,7,2,3,4
93,4,8,8,8,0,2,6,7,0,2
94,6,2,2,2,3,8,5,2,9,2
95,2,3,9,1,4,3,2,0,0,2
96,4,0,0,7,8,4,6,0,7,2
97,3,1,0,0,6,8,8,0,1,4
98,5,4,5,1,4,8,2,9,7,2
99,1,2,0,5,1,3,8,2,0,2
